Date,Open,High,Low,Close,Change,Change(%),Ratio(%),Volume,Value(T)
2018-05-24,2930,3070,2920,3060,Rise,180,6,2518562,760435888
2018-05-25,3090,3130,3020,3120,Rise,60,2,1922497,594327993
2018-05-28,3130,3290,3120,3250,Rise,130,4,1860451,600278124
2018-05-30,3250,3280,3140,3140,Fall,110,3,3062279,980303942
2018-05-31,3170,3190,3070,3080,Fall,60,2,3123169,966455018
2018-06-04,3150,3170,3100,3130,Rise,50,2,2119364,664161266
2018-06-05,3150,3160,3090,3110,Fall,20,1,1359796,423841190
2018-06-06,3120,3160,3090,3150,Rise,40,1,995095,311830791
2018-06-07,3180,3270,3160,3270,Rise,120,4,1837462,591797679
2018-06-08,3210,3250,3110,3140,Fall,130,4,2629723,827757262
