Date,Close
2017-06-20,2990
2017-06-21,3060
2017-06-22,3050
2017-07-03,3100
2017-07-04,3060
2017-07-05,3040
2017-07-06,3010
2017-07-07,3010
2017-07-10,2940
2017-07-11,2920
2017-07-12,2960
2017-07-13,2980
2017-07-14,2960
2017-07-17,3000
2017-07-18,2980
2017-07-19,2940
2017-07-20,2940
2017-07-21,2930
2017-07-24,2930
2017-07-25,2960
2017-07-26,2950
2017-07-27,2940
2017-07-28,2900
2017-07-31,2950
2017-08-01,2960
2017-08-02,2990
2017-08-03,2970
2017-08-04,2980
2017-08-07,2980
2017-08-08,2990
2017-08-09,3000
2017-08-10,3000
2017-08-11,3000
2017-08-14,3010
2017-08-15,3010
2017-08-16,3050
2017-08-18,3030
2017-08-21,3050
2017-08-22,3060
2017-08-23,3060
2017-08-24,3040
2017-08-25,3060
2017-08-28,3040
2017-08-29,2990
2017-08-30,3010
2017-08-31,3020
2017-09-04,2970
2017-09-05,3000
2017-09-06,2970
2017-09-07,3000
2017-09-08,3000
2017-09-11,2990
2017-09-12,2980
2017-09-13,2980
2017-09-14,2960
2017-09-15,2970
2017-09-18,3000
2017-09-19,3000
2017-09-20,3000
2017-09-22,3130
2017-09-25,3130
2017-09-26,3110
2017-09-27,3050
2017-09-28,2940
2017-09-29,3050
2017-10-02,3050
2017-10-03,3060
2017-10-04,3050
2017-10-05,3060
2017-10-06,3070
2017-10-09,3070
2017-10-10,3050
2017-10-11,3050
2017-10-12,3070
2017-10-13,3070
2017-10-16,3070
2017-10-17,3080
2017-10-18,3080
2017-10-19,3100
2017-10-20,3120
2017-10-23,3120
2017-10-24,3090
2017-10-25,3120
2017-10-26,3120
2017-10-27,3120
2017-10-30,3110
2017-10-31,3120
2017-11-01,3140
2017-11-02,3190
2017-11-03,3200
2017-11-06,3250
2017-11-07,3240
2017-11-08,3290
2017-11-09,3290
2017-11-10,3280
2017-11-13,3260
2017-11-14,3170
2017-11-15,3140
2017-11-16,3210
2017-11-17,3290
2017-11-20,3340
2017-11-21,3280
2017-11-22,3400
2017-11-23,3360
2017-11-24,3350
2017-11-27,3300
2017-11-28,3380
2017-11-29,3300
2017-11-30,3210
2017-12-04,3300
2017-12-05,3350
2017-12-06,3460
2017-12-07,3380
2017-12-08,3370
2017-12-11,3440
2017-12-12,3450
2017-12-13,3450
2017-12-14,3460
2017-12-15,3390
2017-12-18,3390
2017-12-19,3440
2017-12-20,3400
2017-12-21,3420
2017-12-22,3460
2017-12-27,3550
2017-12-28,3630
2017-12-29,3640
2018-01-02,3630
2018-01-03,3610
2018-01-04,3550
2018-01-05,3590
2018-01-08,3590
2018-01-09,3570
2018-01-10,3530
2018-01-11,3540
2018-01-12,3540
2018-01-15,3550
2018-01-16,3610
2018-01-17,3630
2018-01-18,3620
2018-01-19,3620
2018-01-22,3650
2018-01-23,3920
2018-01-24,3830
2018-01-25,3770
2018-01-26,3850
2018-01-29,3800
2018-01-30,3720
2018-01-31,3700
2018-02-01,3700
2018-02-02,3740
2018-02-05,3780
2018-02-06,3680
2018-02-07,3700
2018-02-08,3720
2018-02-09,3710
2018-02-12,3800
2018-02-13,3880
2018-02-14,3860
2018-02-15,3840
2018-02-19,3860
2018-02-20,3800
2018-02-21,3800
2018-02-22,3770
2018-02-23,3790
2018-02-26,3740
2018-02-27,3770
2018-02-28,3780
2018-03-01,3790
2018-03-02,3790
2018-03-05,3770
2018-03-06,3730
2018-03-07,3660
2018-03-08,3770
2018-03-09,3690
2018-03-12,3760
2018-03-13,3760
2018-03-14,3750
2018-03-15,3640
2018-03-16,3680
2018-03-19,3690
2018-03-20,3740
2018-03-21,3810
2018-03-22,3670
2018-03-23,3600
2018-03-26,3600
2018-03-27,3600
2018-03-28,3550
2018-03-29,3600
2018-04-02,3600
2018-04-03,3600
2018-04-04,3490
2018-04-05,3470
2018-04-06,3480
2018-04-09,3530
2018-04-10,3580
2018-04-11,3650
2018-04-12,3590
2018-04-13,3550
2018-04-16,3560
2018-04-17,3590
2018-04-18,3660
2018-04-19,3630
2018-04-20,3660
2018-04-23,3580
2018-04-24,3490
2018-04-25,3310
2018-04-26,3140
2018-04-27,3150
2018-04-30,3220
2018-05-02,3230
2018-05-03,3150
2018-05-04,3030
2018-05-07,3050
2018-05-08,3070
2018-05-09,3210
2018-05-11,3160
2018-05-14,3190
2018-05-15,3070
2018-05-16,3070
2018-05-17,2990
2018-05-18,2940
2018-05-21,2760
2018-05-22,2720
2018-05-23,2880
2018-05-24,3060
2018-05-25,3120
2018-05-28,3250
2018-05-30,3140
2018-05-31,3080
2018-06-04,3130
2018-06-05,3110
2018-06-06,3150
2018-06-07,3270
2018-06-08,3140
2018-06-20,2960
2018-06-21,2910
2018-06-22,2980
2018-06-25,2890
2018-06-26,2820
2018-06-27,2840
2018-06-28,2750
2018-06-29,2840
2018-07-02,2850
2018-07-03,2830
2018-07-04,2930
2018-07-05,2910
2018-07-06,2840
2018-07-09,3010
2018-07-10,3050
2018-07-11,2990
2018-07-12,2970
2018-07-13,2970
2018-07-16,2970
2018-07-17,2870
2018-07-18,2850
2018-07-19,2890
2018-07-20,2980
2018-07-23,3040
2018-07-24,3010
2018-07-25,2990
2018-07-26,3040
2018-07-27,3090
2018-07-30,3080
2018-07-31,3070
2018-08-01,3190
2018-08-02,3250
2018-08-03,3330
2018-08-06,3410
2018-08-07,3350
2018-08-08,3330
2018-08-09,3330
2018-08-10,3390
2018-08-13,3140
2018-08-14,3130
2018-08-15,3210
2018-08-16,3050
2018-08-20,3180
2018-08-21,3150
2018-08-23,3270
2018-08-24,3270
2018-08-27,3380
2018-08-28,3330
2018-08-29,3290
2018-08-30,3190
2018-08-31,3180
2018-09-03,3170
2018-09-04,3110
2018-09-05,2930
2018-09-06,2960
